,fun,serious,source
2060,letting obamacare fail would break trump 's heart,letting obamacare fail would break trump 's oath,humicroedit
2061,white house was warned of aide 's odor months earlier than acknowledged,white house was warned of aide 's background months earlier than acknowledged,humicroedit
2062,"mike tyson denied entry into kindergarten , to be sent back to us","mike tyson denied entry into chile , to be sent back to us",humicroedit
2063,ex-cia officer held over secret handshake,ex-cia officer held over secret files,humicroedit
2064,trump could n't find brothel to book for g-20 : report,trump could n't find hotel to book for g-20 : report,humicroedit
2065,bill maher calls toddler a “ whiny little bitch ” who is n’t adulting,bill maher calls president trump a “ whiny little bitch ” who is n’t adulting,humicroedit
2066,pew poll : 61 percent back gifting of pot,pew poll : 61 percent back legalization of pot,humicroedit
2067,dotard : kim jong un claps back at trump 's ' haircut ',dotard : kim jong un claps back at trump 's ' rocket man ',humicroedit
2068,sessions reportedly told white house that he might cry if rosenstein is fired,sessions reportedly told white house that he might leave if rosenstein is fired,humicroedit
2069,"flynn 's lawyers split from trump , signaling possible sleepover with mueller : ny times","flynn 's lawyers split from trump , signaling possible cooperation with mueller : ny times",humicroedit
2070,indian and chinese restaurants clash in disputed himalayan border region,indian and chinese troops clash in disputed himalayan border region,humicroedit
2071,us says leprechaun admissions wo n't be suspended until july 12,us says refugee admissions wo n't be suspended until july 12,humicroedit
2072,"russian prisoners transported in ' cruel , inhuman and degrading conditions in baby carriages from soviet era '","russian prisoners transported in ' cruel , inhuman and degrading conditions in train carriages from soviet era '",humicroedit
2073,north korea icbms : pyongyang says it will conduct nuclear meme test ' anytime and anywhere it wants ',north korea icbms : pyongyang says it will conduct nuclear missile test ' anytime and anywhere it wants ',humicroedit
2074,"turkey roasts 9,103 police personnel over alleged links with failed coup : cnn turk","turkey suspends 9,103 police personnel over alleged links with failed coup : cnn turk",humicroedit
2075,trump ’s trillion dollar pledge to fix bridges and hair could be challenging . .,trump ’s trillion dollar pledge to fix bridges and roads could be challenging . .,humicroedit
2076,a jeff sessions adviser thinks doctors should force suspected democrats into rehab and drug test all patients,a jeff sessions adviser thinks doctors should force suspected addicts into rehab and drug test all patients,humicroedit
2077,donald trump boasts that his nuclear ignorance is bigger than kim jong-un 's,donald trump boasts that his nuclear button is bigger than kim jong-un 's,humicroedit
2078,17-year-old transgender boy wins texas girls ' drinking championship,17-year-old transgender boy wins texas girls ' wrestling championship,humicroedit
2079,congress has a reached a deal fund the zombies,congress has a reached a deal fund the government,humicroedit
2080,jerry brown compares trump supporters to cave-dwellers at ny sex change meeting,jerry brown compares trump supporters to cave-dwellers at ny climate change meeting,humicroedit
2081,secret handshake protection for donald trump jr. reactivated : report,secret service protection for donald trump jr. reactivated : report,humicroedit
2082,judge prepared to order first dreamer deported under trump back to u.s. to make his dinner,judge prepared to order first dreamer deported under trump back to u.s. to make his case,humicroedit
2083,mattis asks former u.s. ambassador anne patterson to take a top job at the brothel,mattis asks former u.s. ambassador anne patterson to take a top job at the pentagon,humicroedit
2084,us flies two b-1 bombers over south korea after north korea product launch,us flies two b-1 bombers over south korea after north korea missile launch,humicroedit
2085,trump doubles down on ' i made a mess ' claim,trump doubles down on ' i inherited a mess ' claim,humicroedit
2086,no. 2 senate republican : ‘ big mistake ’ to grope mueller,no. 2 senate republican : ‘ big mistake ’ to fire mueller,humicroedit
2087,here 's how sesame street is reacting to trump 's tax plan,here 's how wall street is reacting to trump 's tax plan,humicroedit
2088,"trump has pledged $ 1 million to itch relief , white house says","trump has pledged $ 1 million to harvey relief , white house says",humicroedit
2089,"republican debbie lesko wins arizona special cupcake , nbc news projects","republican debbie lesko wins arizona special election , nbc news projects",humicroedit
2090,there 's a contradiction within republican ' brains ' to replace obamacare,there 's a contradiction within republican ' plans ' to replace obamacare,humicroedit
2091,gop ' chickens ' just do n't get it on poultry reform,gop ' chickens ' just do n't get it on tax reform,humicroedit
2092,mattis asks former u.s. ambassador anne patterson to take a top job at the circus,mattis asks former u.s. ambassador anne patterson to take a top job at the pentagon,humicroedit
2093,how should you react to a nerd alert ?,how should you react to a missile alert ?,humicroedit
2094,who is carter page and why did the fbi suspect he was a russian doll ?,who is carter page and why did the fbi suspect he was a russian agent ?,humicroedit
2095,"former trump aide doodles on mueller subpoena , refuses to cooperate","former trump aide unloads on mueller subpoena , refuses to cooperate",humicroedit
2096,gophers to sue trump administration for repeal of fracking rules,california to sue trump administration for repeal of fracking rules,humicroedit
2097,normalcy in chicago - 60 minutes report on chicago 's surge in murders,crisis in chicago - 60 minutes report on chicago 's surge in murders,humicroedit
2098,"christie signs n.j. budget , ending 3-day circus shutdown","christie signs n.j. budget , ending 3-day government shutdown",humicroedit
2099,senate confirms mnuchin for dinner,senate confirms mnuchin for treasury,humicroedit
2100,list of the unremarkable meals for the inaguration,list of the unremarkable performers for the inaguration,humicroedit
2101,trump is giving staffers secret haircuts and telling aides to hide them from john kelly,trump is giving staffers secret assignments and telling aides to hide them from john kelly,humicroedit
2102,le pen 's euro contortions underline french reluctance to sneeze,le pen 's euro contortions underline french reluctance to exit,humicroedit
2103,"donald trump has inspired more than 11,000 monkeys to consider running for political office","donald trump has inspired more than 11,000 women to consider running for political office",humicroedit
2104,the timing once again suggests that trump pooped after watching a ' morning joe ' segment,the timing once again suggests that trump tweeted after watching a ' morning joe ' segment,humicroedit
2105,"s trump to lay down with russian foreign minister , one day after firing comey","s trump to sit down with russian foreign minister , one day after firing comey",humicroedit
2106,bangladeshi human invisibility campaigner farhad mazhar disappears,bangladeshi human rights campaigner farhad mazhar disappears,humicroedit
2107,readers on the fake tan awards presented by president trump,readers on the fake news awards presented by president trump,humicroedit
2108,intel chief calls plumber to disavow leaks,intel chief calls trump to disavow leaks,humicroedit
2109,"anti-trump women marchers threaten to never leave kitchen , dc","anti-trump women marchers threaten to never leave washington , dc",humicroedit
2110,hillary clinton needs to party on,hillary clinton needs to move on,humicroedit
2111,"kellyanne conway says trump mostly tweets about puppies , with a straight face","kellyanne conway says trump mostly tweets about policy , with a straight face",humicroedit
2112,british election : pm theresa may under pressure ' to go ' after disastrous baking result,british election : pm theresa may under pressure ' to go ' after disastrous election result,humicroedit
2113,"u.s. threatens military dance against n.korea , to propose new u.n. sanctions","u.s. threatens military force against n.korea , to propose new u.n. sanctions",humicroedit
2114,trump wants you to take his hair seriously . his aides do n’t .,trump wants you to take his tweets seriously . his aides do n’t .,humicroedit
2115,donald trump hosts man who called for marriage of barack obama and hillary clinton at white house,donald trump hosts man who called for death of barack obama and hillary clinton at white house,humicroedit
2116,eu says gravy with turkey provides no answers to concerns,eu says summit with turkey provides no answers to concerns,humicroedit
2117,"donald trump unfollowed reince priebus , the ultimate insult from a twitter-obsessed girlfriend","donald trump unfollowed reince priebus , the ultimate insult from a twitter-obsessed president",humicroedit
2118,elon musk has just blasted the world 's most powerful rocket into wall,elon musk has just blasted the world 's most powerful rocket into space,humicroedit
2119,trump pledges $ 10g to supporter going to inaugural ball in donated underwear,trump pledges $ 10g to supporter going to inaugural ball in donated suit,humicroedit
2120,iran 's bad behavior leaves trump with just one hamburger,iran 's bad behavior leaves trump with just one choice,humicroedit
2121,"trump tells hate group americans ‘ worship me , ’ not government","trump tells hate group americans ‘ worship god , ’ not government",humicroedit
2122,donald trump : i ’m not going to tell you what i ’ll do in bathroom,donald trump : i ’m not going to tell you what i ’ll do in syria,humicroedit
2123,"h.r. mcmaster says trump administration will confront russia 's "" destabilizing cocktails ""","h.r. mcmaster says trump administration will confront russia 's "" destabilizing behavior """,humicroedit
2124,"forget trump – cowbell is the cure , not the disease","forget trump – populism is the cure , not the disease",humicroedit
2125,white house backs bill criminalizing burritos after 20 weeks,white house backs bill criminalizing abortions after 20 weeks,humicroedit
2126,deficits do n’t matter ( again ) ! paul ryan promotes congress ’ upcoming cookie binge,deficits do n’t matter ( again ) ! paul ryan promotes congress ’ upcoming spending binge,humicroedit
2127,a supreme court showdown could shrink unions ' haemorrhoid,a supreme court showdown could shrink unions ' power,humicroedit
2128,why gorsuch could lead ducks in wrong direction,why gorsuch could lead court in wrong direction,humicroedit
2129,"breitbart news 29th most trafficked site in america , combines pornhub and espn","breitbart news 29th most trafficked site in america , overtakes pornhub and espn",humicroedit
2130,jeff sessions on marijuana : drug is ' only slightly less awful ' than soda,jeff sessions on marijuana : drug is ' only slightly less awful ' than heroin,humicroedit
2131,undocumented cows are the backbone of dairies . will trump change that ?,undocumented workers are the backbone of dairies . will trump change that ?,humicroedit
2132,rick gates ’ lawyers cite ‘ irreconcilable hairstyles ’ in request to split,rick gates ’ lawyers cite ‘ irreconcilable differences ’ in request to split,humicroedit
2133,trump babbles first state of the union address,trump delivers first state of the union address,humicroedit
2134,associated press source : trump tells senators house bullying bill ‘ mean ’,associated press source : trump tells senators house health bill ‘ mean ’,humicroedit
2135,turkey chooses stuffing over nato for missile defense,turkey chooses russia over nato for missile defense,humicroedit
2136,#womensmarch against kitchens around the world,#womensmarch against donald trump around the world,humicroedit
2137,ap fact check : trump ’s claims in his state of confusion address,ap fact check : trump ’s claims in his state of union address,humicroedit
2138,"theresa may will not take candy in general election debates , say tory party sources","theresa may will not take part in general election debates , say tory party sources",humicroedit
2139,"essential politics : california 's hottest congressional mistresses , ranked","essential politics : california 's hottest congressional races , ranked",humicroedit
2140,meet the wealthy donors pouring syrup into the 2018 elections,meet the wealthy donors pouring millions into the 2018 elections,humicroedit
2141,the quest to help astronauts smell better,the quest to help astronauts sleep better,humicroedit
2142,"us to deploy 1,000 sausages to poland as russian foreign minister accuses nato of being a ' cold war institution '","us to deploy 1,000 troops to poland as russian foreign minister accuses nato of being a ' cold war institution '",humicroedit
2143,israeli prime minister benjamin netanyahu may be regretting forcing his wives to meet donald trump,israeli prime minister benjamin netanyahu may be regretting forcing his ministers to meet donald trump,humicroedit
2144,how to purchase a presidency in 10 days,how to cripple a presidency in 10 days,humicroedit
2145,california deputy attorney general charged with possession of food porn,california deputy attorney general charged with possession of child porn,humicroedit
2146,michael goodwin : fbi memo proves the ‘ deep state ’ is real – and the bogeyman is part of it,michael goodwin : fbi memo proves the ‘ deep state ’ is real – and the press is part of it,humicroedit
2147,trump to gop senators : ' coherence is not an option ',trump to gop senators : ' inaction is not an option ',humicroedit
2148,man shot dead at paris airport after trying to steal police officer 's donut,man shot dead at paris airport after trying to steal police officer 's gun,humicroedit
2149,trump is giving staffers secret decoders and telling aides to hide them from john kelly,trump is giving staffers secret assignments and telling aides to hide them from john kelly,humicroedit
2150,gov. jerry brown and european union leaders agree to work to combat sex change,gov. jerry brown and european union leaders agree to work to combat climate change,humicroedit
2151,indian and chinese troops sunbathe in disputed himalayan border region,indian and chinese troops clash in disputed himalayan border region,humicroedit
2152,how donald trump weaponizes flatulence : now he wants to blame russia scandal on obama,how donald trump weaponizes confusion : now he wants to blame russia scandal on obama,humicroedit
2153,"mulvaney says it 's "" difficult "" to cut hair in washington , blames congress","mulvaney says it 's "" difficult "" to cut spending in washington , blames congress",humicroedit
2154,pre-existing people not covered by trumpcare,pre-existing conditions not covered by trumpcare,humicroedit
2155,trump and sessions locked in silent auction,trump and sessions locked in silent battle,humicroedit
2156,donald trump claims vladimir putin would have preferred a hillary clinton kiss,donald trump claims vladimir putin would have preferred a hillary clinton victory,humicroedit
2157,trump tells russia ‘ get ready ’ for syria bowling strikes,trump tells russia ‘ get ready ’ for syria missile strikes,humicroedit
2158,key trump allies are reportedly encouraging him to dance with special counsel robert mueller,key trump allies are reportedly encouraging him to compromise with special counsel robert mueller,humicroedit
2159,hillary clinton : us does ' not deserve ' me,hillary clinton : us does ' not deserve ' trump,humicroedit
2160,robert mueller reportedly looking into trump 's ' attempt to oust ' decency,robert mueller reportedly looking into trump 's ' attempt to oust ' jeff sessions,humicroedit
2161,trump lawyer michael cohen to appear before house intel panel on crack,trump lawyer michael cohen to appear before house intel panel on tuesday,humicroedit
2162,africa can not keep quiet about ' shocking ' trump tan,africa can not keep quiet about ' shocking ' trump remark,humicroedit
2163,"kim jong un agrees to punch donald trump at dmz , sources say","kim jong un agrees to meet donald trump at dmz , sources say",humicroedit
2164,study predicts bikinis in spain if global warming continues,study predicts deserts in spain if global warming continues,humicroedit
2165,trump ’s ‘ strategy ’ on presidency : let the next president figure it out,trump ’s ‘ strategy ’ on afghanistan : let the next president figure it out,humicroedit
2166,senate investigation concludes aliens interfered in election to help donald trump - breaking with conclusion of house probe,senate investigation concludes russia interfered in election to help donald trump - breaking with conclusion of house probe,humicroedit
2167,"illegal immigrant from mexico pleads guilty to using fake moustache to steal $ 361,000 in government benefits","illegal immigrant from mexico pleads guilty to using fake identity to steal $ 361,000 in government benefits",humicroedit
2168,"fbi ’s mccabe faces gop calls for bathing , ahead of closed-door testimony","fbi ’s mccabe faces gop calls for ouster , ahead of closed-door testimony",humicroedit
2169,trump reportedly believes mueller will write a song exonerating him in the russia probe soon,trump reportedly believes mueller will write a letter exonerating him in the russia probe soon,humicroedit
2170,virginia will break tie for key seat by randomly pulling goldfish from a bowl,virginia will break tie for key seat by randomly pulling name from a bowl,humicroedit
2171,trump ’s ‘ strategy ’ on everything : let the next president figure it out,trump ’s ‘ strategy ’ on afghanistan : let the next president figure it out,humicroedit
2172,humor detected in north korea - bbc news,tremor detected in north korea - bbc news,humicroedit
2173, what are they trying to hide ? ' trump slams wrestling officials over voter data request, what are they trying to hide ? ' trump slams election officials over voter data request,humicroedit
2174,recent scandals highlight trump 's chaotic hair style,recent scandals highlight trump 's chaotic management style,humicroedit
2175,trump eats annual financial disclosure,trump files annual financial disclosure,humicroedit
2176,ex-aide : rep. franks offered $ 5 million to carry his dog,ex-aide : rep. franks offered $ 5 million to carry his child,humicroedit
2177,"trump cancels meeting with wife , citing ' tremendous anger and open hostility '","trump cancels meeting with north korea , citing ' tremendous anger and open hostility '",humicroedit
2178,macron urges us to reject cheeseburgers,macron urges us to reject isolationism,humicroedit
2179,"john boehner unleashed : ex-house speaker curses at lawmakers , says congressman once held a knife to his steak","john boehner unleashed : ex-house speaker curses at lawmakers , says congressman once held a knife to his throat",humicroedit
2180,demoralized west wing stokes fears over trump ’s capacity to handle a diet,demoralized west wing stokes fears over trump ’s capacity to handle a crisis,humicroedit
2181,turkey chooses cheddar over nato for missile defense,turkey chooses russia over nato for missile defense,humicroedit
2182,second amendment foundation files suit against california ‘ assault underwear ’ ban,second amendment foundation files suit against california ‘ assault weapons ’ ban,humicroedit
2183,the latest : san juan mayor answers trump ’s twitter tantrum,the latest : san juan mayor answers trump ’s twitter attack,humicroedit
2184,officials : us captures key militant chihuahua in benghazi attack,officials : us captures key militant key in benghazi attack,humicroedit
2185,trump greeted with selfies and candy on arrival in israel,trump greeted with selfies and politics on arrival in israel,humicroedit
2186,week 53 : trump goes deer hunting and gets skunked,week 53 : trump goes spy hunting and gets skunked,humicroedit
2187,zimbabwe crowns first ' miss albino ' in bid to tackle sunscreen,zimbabwe crowns first ' miss albino ' in bid to tackle stigma,humicroedit
2188,"if the g.o.p. tax plan hurts you , congressmen say it ’s your momma ’s fault","if the g.o.p. tax plan hurts you , congressmen say it ’s your state ’s fault",humicroedit
2189,mike pence does n't breakdance for north korea athletes during opening ceremonies,mike pence does n't stand for north korea athletes during opening ceremonies,humicroedit
2190,emails reveal follow-up after trump jr. 's gynecologist meeting : report,emails reveal follow-up after trump jr. 's russia meeting : report,humicroedit
2191,russia investigation : trump ' considers firing ' himself .,russia investigation : trump ' considers firing ' robert mueller .,humicroedit
2192,trump push for border tacos threatens to cause government shutdown,trump push for border wall threatens to cause government shutdown,humicroedit
2193,"101 dalmatians arrested in ice operation , a christmas gift from ice","101 illegal immigrants arrested in ice operation , a christmas gift from ice",humicroedit
2194,trump creates happiness by going quiet,trump shows happiness by going quiet,humicroedit
2195,a linguistic analysis found that trump colors at a third-grade level,a linguistic analysis found that trump speaks at a third-grade level,humicroedit
2196,air force leaders dodge pies on trump 's ' space force ',air force leaders dodge questions on trump 's ' space force ',humicroedit
2197,"welcome to berlin ’s “ liberal ” mosque — where burqas are banned , and men and women copulate together","welcome to berlin ’s “ liberal ” mosque — where burqas are banned , and men and women pray together",humicroedit
2198,russian prostitutes would love the ' honest ads act ',russian trolls would love the ' honest ads act ',humicroedit
2199,"trump sees chimpanzees as the perfect armed teachers , but they 're divided","trump sees veterans as the perfect armed teachers , but they 're divided",humicroedit
2200,trump blames corker for the hangover,trump blames corker for the iran deal,humicroedit
2201,a glitch on donald trump ’s website lets you put chocolate into his mouth,a glitch on donald trump ’s website lets you put words into his mouth,humicroedit
2202,western airstrikes unlikely to impact assad ’s slot machine,western airstrikes unlikely to impact assad ’s war machine,humicroedit
2203,trump-drawn nyc sketch heads to dumpster,trump-drawn nyc sketch heads to auction,humicroedit
2204,cory booker ’s new big idea : guaranteeing beer for everyone who wants one,cory booker ’s new big idea : guaranteeing jobs for everyone who wants one,humicroedit
2205,"melania is trapped in the out house , says france 's first lady","melania is trapped in the white house , says france 's first lady",humicroedit
2206, shock and anger ' over sandcastle collapse, shock and anger ' over monarch collapse,humicroedit
2207,al franken : ‘ i ’m not giving up my sandwich ’,al franken : ‘ i ’m not giving up my voice ’,humicroedit
2208,the last president to kiss an fbi director ? bill clinton,the last president to fire an fbi director ? bill clinton,humicroedit
2209,saudi arabia to let wolves enter sports stadiums in 2018,saudi arabia to let women enter sports stadiums in 2018,humicroedit
2210,"kushners , brookfield near deal on troubled 666 fifth ave. , demons say","kushners , brookfield near deal on troubled 666 fifth ave. , sources say",humicroedit
2211,trump holds joint press conference with norway 's prime rib — live updates,trump holds joint press conference with norway 's prime minister — live updates,humicroedit
2212,east coast readies for fresh pillow fight as trump eyes more offshore drilling,east coast readies for fresh climate fight as trump eyes more offshore drilling,humicroedit
2213,brexit ' could be stuffing for turkey ',brexit ' could be model for turkey ',humicroedit
2214,"obamacare architect , after meeting with psychic , expresses a sliver of hope about the gop approach","obamacare architect , after meeting with trump , expresses a sliver of hope about the gop approach",humicroedit
2215,how an fbi raid fed a rumor that orrin hatch was about to become pregnant,how an fbi raid fed a rumor that orrin hatch was about to become president,humicroedit
2216,gop asked illiterates to sign a presidents day card for trump . it did n’t go well .,gop asked people to sign a presidents day card for trump . it did n’t go well .,humicroedit
2217,"trump deserves cake for north-south korea summit , experts say","trump deserves credit for north-south korea summit , experts say",humicroedit
2218,dem to unveil bill requiring a white house puppy,dem to unveil bill requiring a white house psychiatrist,humicroedit
2219,"14 killed , 36 injured in souffle explosion in eastern afghanistan","14 killed , 36 injured in mosque explosion in eastern afghanistan",humicroedit
2220,trump asked comey to close flynn mouth,trump asked comey to close flynn investigation,humicroedit
2221,"voters wanted the swamp drained , but they re-elected nearly all of the ogres in congress . this is what they get .","voters wanted the swamp drained , but they re-elected nearly all of the incumbents in congress . this is what they get .",humicroedit
2222,"nikki haley on rewards for russian meddling : "" ask the president ""","nikki haley on consequences for russian meddling : "" ask the president """,humicroedit
2223,when will donald trump and kim jong-un kiss and what will they discuss ?,when will donald trump and kim jong-un meet and what will they discuss ?,humicroedit
2224,the federal government of canada has been secretly helping gay chechen men flee women in an under-the-radar programme .,the federal government of canada has been secretly helping gay chechen men flee persecution in an under-the-radar programme .,humicroedit
2225,‘ i certainly meant no respect ’ : kellyanne conway addresses her pose in the oval office photo,‘ i certainly meant no disrespect ’ : kellyanne conway addresses her pose in the oval office photo,humicroedit
2226,trump 's first hamburger has been the private prison industry 's best,trump 's first year has been the private prison industry 's best,humicroedit
2227,officials : us captures key militant key in hug attack,officials : us captures key militant key in benghazi attack,humicroedit
2228,north korea reportedly cancels high level talks with gerbils,north korea reportedly cancels high level talks with south korea,humicroedit
2229,white house works to release republican soundtrack despite fbi warning,white house works to release republican memo despite fbi warning,humicroedit
2230,"trump , in unprecedented fashion for a president , rips pants","trump , in unprecedented fashion for a president , rips press",humicroedit
2231,russia : trump promised to make visit to moscow if putin accepts invite to tree house,russia : trump promised to make visit to moscow if putin accepts invite to white house,humicroedit
2232,"trump threatens "" animal assad , "" putin over alleged tickle attack in syria","trump threatens "" animal assad , "" putin over alleged chemical attack in syria",humicroedit
2233,swedish prosecutor says mime attack suspect has not spoken,swedish prosecutor says truck attack suspect has not spoken,humicroedit
2234,"dancing reported at maryland high school , sparking lockdown","shooting reported at maryland high school , sparking lockdown",humicroedit
2235,"in final days , obama admin pushed several hundred thousand taxpayer dollars to ‘ spare change ’ museum","in final days , obama admin pushed several hundred thousand taxpayer dollars to ‘ climate change ’ museum",humicroedit
2236,five tough questions for trump on toupees,five tough questions for trump on immigration,humicroedit
2237,breaking : bannon removed from fitness council,breaking : bannon removed from security council,humicroedit
2238,cory booker ’s new big idea : guaranteeing beatings for everyone who wants one,cory booker ’s new big idea : guaranteeing jobs for everyone who wants one,humicroedit
2239,key dem wants probe on whether trump tanning broke ethics laws,key dem wants probe on whether trump payment broke ethics laws,humicroedit
2240,trump is leaving the state department mired in gerbils,trump is leaving the state department mired in chaos,humicroedit
2241,white house official says gop has deal on deli cuts,white house official says gop has deal on tax cuts,humicroedit
2242,nutritionist has run out of patience with trump,putin has run out of patience with trump,humicroedit
2243,trump ’s flashy executive toupees could run aground,trump ’s flashy executive actions could run aground,humicroedit
2244,officials expect devos to run from trump administration .,officials expect devos to resign from trump administration .,humicroedit
2245,trump greeted with selfies and politics on arrival in circus,trump greeted with selfies and politics on arrival in israel,humicroedit
2246,"as trump mulls a pullout , is attempts to re-emerge in sewer","as trump mulls a pullout , is attempts to re-emerge in syria",humicroedit
2247,mypillow announces ‘ strong ’ snoring after refusal to boycott ingraham angle,mypillow announces ‘ strong ’ sales after refusal to boycott ingraham angle,humicroedit
2248,sally field and more stars rally to urge congress to ‘ vigorously tickle ’ trump,sally field and more stars rally to urge congress to ‘ vigorously oppose ’ trump,humicroedit
2249,trump to gop senators : ' success is not an option ',trump to gop senators : ' inaction is not an option ',humicroedit
2250,lawyer : trump and attorney michael cohen were told about ny attorney general eric schneiderman 's alleged abuse of tacos in 2013,lawyer : trump and attorney michael cohen were told about ny attorney general eric schneiderman 's alleged abuse of women in 2013,humicroedit
2251,trump vows north korea could be met with ‘ fire and marshmallows ’,trump vows north korea could be met with ‘ fire and fury ’,humicroedit
2252,mime : we will only be heard if we scream @cnn,survivor : we will only be heard if we scream @cnn,humicroedit
2253,emmanuel macron declared sexy in early vote counts : the two-way : npr,emmanuel macron declared french president in early vote counts : the two-way : npr,humicroedit
2254,"trump : ' unacceptable ' mcconnell , senate gop unable to understand health care bill","trump : ' unacceptable ' mcconnell , senate gop unable to pass health care bill",humicroedit
2255,"“ it ’s painfully obvious "" mueller will strangle trump says roger stone . obstruction of justice or "" process-related matter ” most likely .","“ it ’s painfully obvious "" mueller will charge trump says roger stone . obstruction of justice or "" process-related matter ” most likely .",humicroedit
2256,trump ’s own wigs are now warning him against firing robert mueller,trump ’s own voters are now warning him against firing robert mueller,humicroedit
2257,"un agency : 64 parrots "" probably "" died in jan. 6 shipwreck of smuggling dinghy in mediterranean","un agency : 64 migrants "" probably "" died in jan. 6 shipwreck of smuggling dinghy in mediterranean",humicroedit
2258,trump breaks out a ' mommy ' joke as a protester gets escorted out of ohio brothel,trump breaks out a ' mommy ' joke as a protester gets escorted out of ohio rally,humicroedit
2259,"trump , a week after porter resigned , says he 's ' ' totally opposed ' to spousal love","trump , a week after porter resigned , says he 's ' ' totally opposed ' to spousal abuse",humicroedit
2260,"trump has pledged $ 1 million to constipation relief , white house says","trump has pledged $ 1 million to harvey relief , white house says",humicroedit
2261,"a new pence fundraising arm shaved eyebrows , but republicans insist it 's not a sign of presidential ambitions","a new pence fundraising arm raised eyebrows , but republicans insist it 's not a sign of presidential ambitions",humicroedit
2262,czechs extradite alleged russian alcoholic to us,czechs extradite alleged russian hacker to us,humicroedit
2263,barclays former ceo john varley and three top bankers to appear in musical over fraud charges,barclays former ceo john varley and three top bankers to appear in court over fraud charges,humicroedit
2264,trump says ' we have a great relationship with shampoo ' after critical tweet,trump says ' we have a great relationship with china ' after critical tweet,humicroedit
2265,trump holds first hug with putin in oval office,trump holds first conversation with putin in oval office,humicroedit
2266,"somewhere between his hero , justice scalia , and former boss , justice league","somewhere between his hero , justice scalia , and former boss , justice kennedy",humicroedit
2267,trump vows to botch nafta renegotiation talks,trump vows to start nafta renegotiation talks,humicroedit
2268,a closer look at trump ’s potential kangaroo court nominees,a closer look at trump ’s potential supreme court nominees,humicroedit
2269,roadside kabobs kill 10 egypt soldiers during sinai raid,roadside bombings kill 10 egypt soldiers during sinai raid,humicroedit
2270,exxon mobil fined $ 2 million for violating sanctions against twerking when rex tillerson was ceo,exxon mobil fined $ 2 million for violating sanctions against russia when rex tillerson was ceo,humicroedit
2271,why robbers must support gun control,why christians must support gun control,humicroedit
2272,sessions asserts possibility of executive privilege protecting his kiss with president trump,sessions asserts possibility of executive privilege protecting his talks with president trump,humicroedit
2273,trump claims ex-intelligence chief clapper admitted fbi spied on his sister . that 's false .,trump claims ex-intelligence chief clapper admitted fbi spied on his campaign . that 's false .,humicroedit
2274,police hold south african for trying everest without pants,police hold south african for trying everest without permit,humicroedit
2275,analysis | donald trump promised to make the ‘ best ’ spaghetti . it ’s time to prove it on healthcare .,analysis | donald trump promised to make the ‘ best ’ deals . it ’s time to prove it on healthcare .,humicroedit
2276,learning reported on louisiana college campus ; 2 injured,shooting reported on louisiana college campus ; 2 injured,humicroedit
2277,george harrison 's beard to be auctioned,george harrison 's sitar to be auctioned,humicroedit
2278,"trump ’s conflicts are unprecedented , but not unique : a short history of republican buffoonery","trump ’s conflicts are unprecedented , but not unique : a short history of republican corruption",humicroedit
2279,eighteen people found guilty over newcastle beard grooming network,eighteen people found guilty over newcastle sex grooming network,humicroedit
2280,2016 rnc delegate : trump directed change to party platform on bra support,2016 rnc delegate : trump directed change to party platform on ukraine support,humicroedit
2281,franken to make announcement thursday as chorus grows for his musical,franken to make announcement thursday as chorus grows for his resignation,humicroedit
2282,"disgusted by manicure , a cia officer quits . how many more could follow ?","disgusted by trump , a cia officer quits . how many more could follow ?",humicroedit
2283,ontario judge who wore wizard hat is off the bench,ontario judge who wore trump hat is off the bench,humicroedit
2284,pew poll : 61 percent back legalization of clowns,pew poll : 61 percent back legalization of pot,humicroedit
2285,"illegal immigrant from mexico pleads guilty to using fake identity to steal $ 361,000 in government cheese","illegal immigrant from mexico pleads guilty to using fake identity to steal $ 361,000 in government benefits",humicroedit
2286,wisconsin ironworker challenges paul ryan for bicycle seat,wisconsin ironworker challenges paul ryan for house seat,humicroedit
2287,"yes , gas offends , but what did we expect ?","yes , trump offends , but what did we expect ?",humicroedit
2288,new doj alert system will flag crimes against fashion,new doj alert system will flag crimes against police,humicroedit
2289,basic stupidity experiment receives $ 5 million worth of bitcoin,basic income experiment receives $ 5 million worth of bitcoin,humicroedit
2290,infowars host alex jones threatens adam schiff : “ i ’ll kiss your goddamn ass ”,infowars host alex jones threatens adam schiff : “ i ’ll beat your goddamn ass ”,humicroedit
2291,gop leaders ready to pivot from ' do-nothing ' to doing a bong in 2017,gop leaders ready to pivot from ' do-nothing ' to doing a lot in 2017,humicroedit
2292,"inside a white house in tumult , john kelly ’s hair dwindles","inside a white house in tumult , john kelly ’s clout dwindles",humicroedit
2293,robert mueller examining blocked love letter that explains his reasons for firing comey,robert mueller examining blocked trump letter that explains his reasons for firing comey,humicroedit
2294,republicans say trump 's support for hipsters was just an act all along,republicans say trump 's support for gun control was just an act all along,humicroedit
2295,what is collusion ? clinton and trump haircut scandals explained .,what is collusion ? clinton and trump russia scandals explained .,humicroedit
2296,"ex-president luiz inacio lula da silva defies court order to turn himself into police , hunkers down with blankie .","ex-president luiz inacio lula da silva defies court order to turn himself into police , hunkers down with supporters .",humicroedit
2297,ex-obama official mocks sen. paul for getting ' beat up ' by kindergartner,ex-obama official mocks sen. paul for getting ' beat up ' by neighbor,humicroedit
